asset,feature,mean_abs_shap
r_spx,ei_creator_engweighted_topicweighted_xlag0,0.0
r_spx,ei_creator_topicweighted_xlag0,0.0
r_spx,ei_community_xlag1,0.0
r_spx,ei_community_topicweighted_xlag1,0.0
r_spx,ei_creator_xlag1,0.0
r_spx,ei_creator_engweighted_xlag1,0.0
r_spx,ei_creator_engweighted_topicweighted_xlag1,0.0
r_spx,ei_creator_topicweighted_xlag1,0.0
r_spx,ei_community_xlag2,0.0
r_spx,ei_community_topicweighted_xlag2,0.0
r_spx,ei_creator_xlag2,0.0
r_spx,ei_creator_engweighted_xlag2,0.0
r_spx,ei_creator_engweighted_topicweighted_xlag2,0.0
r_spx,ei_creator_topicweighted_xlag2,0.0
r_spx,ei_community_xlag3,0.0
r_spx,ei_community_topicweighted_xlag3,0.0
r_spx,ei_creator_xlag3,0.0
r_spx,ei_creator_engweighted_xlag3,0.0
r_spx,ei_creator_engweighted_topicweighted_xlag3,0.0
r_spx,ei_creator_topicweighted_xlag3,0.0
r_spx,epi_xlag0,0.0
r_spx,epi_engweighted_xlag0,0.0
r_spx,epi_engweighted_topicweighted_xlag0,0.0
r_spx,epi_signed_xlag0,0.0
r_spx,epi_signed_engweighted_xlag0,0.0
r_spx,epi_signed_engweighted_topicweighted_xlag0,0.0
r_spx,epi_signed_topicweighted_xlag0,0.0
r_spx,epi_topicweighted_xlag0,0.0
r_spx,epi_xlag1,0.0
r_spx,epi_engweighted_xlag1,0.0
r_spx,epi_engweighted_topicweighted_xlag1,0.0
r_spx,epi_signed_xlag1,0.0
r_spx,epi_signed_engweighted_xlag1,0.0
r_spx,epi_signed_engweighted_topicweighted_xlag1,0.0
r_spx,epi_signed_topicweighted_xlag1,0.0
r_spx,epi_topicweighted_xlag1,0.0
r_spx,epi_xlag2,0.0
r_spx,epi_engweighted_xlag2,0.0
r_spx,epi_engweighted_topicweighted_xlag2,0.0
r_spx,epi_signed_xlag2,0.0
r_spx,epi_signed_engweighted_xlag2,0.0
r_spx,epi_signed_engweighted_topicweighted_xlag2,0.0
r_spx,epi_signed_topicweighted_xlag2,0.0
r_spx,epi_topicweighted_xlag2,0.0
r_spx,ccd_xlag0,0.0
r_spx,ccd_engweighted_xlag0,0.0
r_spx,ccd_engweighted_topicweighted_xlag0,0.0
r_spx,ccd_topicweighted_xlag0,0.0
r_spx,intensity_xlag0,0.0
r_spx,intensity_engweighted_xlag0,0.0
r_spx,intensity_engweighted_topicweighted_xlag0,0.0
r_spx,intensity_topicweighted_xlag0,0.0
r_spx,intensity_xlag1,0.0
r_spx,intensity_engweighted_xlag1,0.0
